dep_code,p_transf,p_orth,resources_mult,resource,usage
42,0.9,0.08,1,RHUMA,1.0
42,0.9,0.08,1,URO,1.0
42,1.0,0.08,1,CHIR/ORTHO,0.976
42,1.0,0.08,1,ANES,0.975
42,1.0,0.08,1,KINE_MCO,1.0
42,1.0,0.08,1,DAY_HC,1.0
42,1.0,0.08,1,KINE_DOM,1.0
42,1.0,0.08,1,KINE_SSR,1.0
42,1.0,0.08,1,finance,0.972
42,1.0,0.08,1,CSC,1.0
42,1.0,0.08,1,DERMA,1.0
42,1.0,0.08,1,ENDO,1.0
42,1.0,0.08,1,GASTRO,1.0
42,1.0,0.08,1,GYNECO,1.0
42,1.0,0.08,1,OPH,1.0
42,1.0,0.08,1,ORL,1.0
42,1.0,0.08,1,RHUMA,1.0
42,1.0,0.08,1,URO,1.0
42,0.0,0.12,1,CHIR/ORTHO,0.517
42,0.0,0.12,1,ANES,0.517
42,0.0,0.12,1,KINE_MCO,0.531
42,0.0,0.12,1,DAY_HC,0.189
42,0.0,0.12,1,KINE_DOM,1.0
42,0.0,0.12,1,KINE_SSR,0.136
42,0.0,0.12,1,finance,0.414
42,0.0,0.12,1,CSC,0.662
42,0.0,0.12,1,DERMA,0.706
42,0.0,0.12,1,ENDO,0.685
42,0.0,0.12,1,GASTRO,0.683
42,0.0,0.12,1,GYNECO,0.553
42,0.0,0.12,1,OPH,0.66
42,0.0,0.12,1,ORL,0.376
42,0.0,0.12,1,RHUMA,0.691
42,0.0,0.12,1,URO,0.429
42,0.1,0.12,1,CHIR/ORTHO,0.729
42,0.1,0.12,1,ANES,0.729
42,0.1,0.12,1,KINE_MCO,0.784
42,0.1,0.12,1,DAY_HC,0.507
42,0.1,0.12,1,KINE_DOM,1.0
42,0.1,0.12,1,KINE_SSR,1.0
42,0.1,0.12,1,finance,0.64
42,0.1,0.12,1,CSC,1.0
42,0.1,0.12,1,DERMA,1.0
42,0.1,0.12,1,ENDO,1.0
42,0.1,0.12,1,GASTRO,1.0
42,0.1,0.12,1,GYNECO,0.926
42,0.1,0.12,1,OPH,1.0
42,0.1,0.12,1,ORL,0.844
42,0.1,0.12,1,RHUMA,1.0
42,0.1,0.12,1,URO,0.895
42,0.2,0.12,1,CHIR/ORTHO,0.911
42,0.2,0.12,1,ANES,0.911
42,0.2,0.12,1,KINE_MCO,0.974
42,0.2,0.12,1,DAY_HC,0.849
42,0.2,0.12,1,KINE_DOM,1.0
42,0.2,0.12,1,KINE_SSR,1.0
42,0.2,0.12,1,finance,0.87
42,0.2,0.12,1,CSC,1.0
42,0.2,0.12,1,DERMA,1.0
42,0.2,0.12,1,ENDO,1.0
42,0.2,0.12,1,GASTRO,1.0
42,0.2,0.12,1,GYNECO,0.926
42,0.2,0.12,1,OPH,1.0
42,0.2,0.12,1,ORL,0.846
42,0.2,0.12,1,RHUMA,1.0
42,0.2,0.12,1,URO,0.895
42,0.3,0.12,1,CHIR/ORTHO,0.968
42,0.3,0.12,1,ANES,0.967
42,0.3,0.12,1,KINE_MCO,1.0
42,0.3,0.12,1,DAY_HC,1.0
42,0.3,0.12,1,KINE_DOM,1.0
42,0.3,0.12,1,KINE_SSR,1.0
42,0.3,0.12,1,finance,0.964
42,0.3,0.12,1,CSC,1.0
42,0.3,0.12,1,DERMA,1.0
42,0.3,0.12,1,ENDO,1.0
42,0.3,0.12,1,GASTRO,1.0
42,0.3,0.12,1,GYNECO,1.0
42,0.3,0.12,1,OPH,1.0
42,0.3,0.12,1,ORL,1.0
42,0.3,0.12,1,RHUMA,1.0
42,0.3,0.12,1,URO,1.0
42,0.4,0.12,1,CHIR/ORTHO,0.968
42,0.4,0.12,1,ANES,0.967
42,0.4,0.12,1,KINE_MCO,1.0
42,0.4,0.12,1,DAY_HC,1.0
42,0.4,0.12,1,KINE_DOM,1.0
42,0.4,0.12,1,KINE_SSR,1.0
42,0.4,0.12,1,finance,0.964
42,0.4,0.12,1,CSC,1.0
42,0.4,0.12,1,DERMA,1.0
42,0.4,0.12,1,ENDO,1.0
42,0.4,0.12,1,GASTRO,1.0
42,0.4,0.12,1,GYNECO,1.0
42,0.4,0.12,1,OPH,1.0
42,0.4,0.12,1,ORL,1.0
42,0.4,0.12,1,RHUMA,1.0
42,0.4,0.12,1,URO,1.0
42,0.5,0.12,1,CHIR/ORTHO,0.968
42,0.5,0.12,1,ANES,0.967
42,0.5,0.12,1,KINE_MCO,1.0
42,0.5,0.12,1,DAY_HC,1.0
42,0.5,0.12,1,KINE_DOM,1.0
42,0.5,0.12,1,KINE_SSR,1.0
42,0.5,0.12,1,finance,0.964
42,0.5,0.12,1,CSC,1.0
42,0.5,0.12,1,DERMA,1.0
42,0.5,0.12,1,ENDO,1.0
42,0.5,0.12,1,GASTRO,1.0
42,0.5,0.12,1,GYNECO,1.0
42,0.5,0.12,1,OPH,1.0
42,0.5,0.12,1,ORL,1.0
42,0.5,0.12,1,RHUMA,1.0
42,0.5,0.12,1,URO,1.0
42,0.6,0.12,1,CHIR/ORTHO,0.968
42,0.6,0.12,1,ANES,0.967
42,0.6,0.12,1,KINE_MCO,1.0
42,0.6,0.12,1,DAY_HC,1.0
42,0.6,0.12,1,KINE_DOM,1.0
42,0.6,0.12,1,KINE_SSR,1.0
42,0.6,0.12,1,finance,0.964
42,0.6,0.12,1,CSC,1.0
42,0.6,0.12,1,DERMA,1.0
42,0.6,0.12,1,ENDO,1.0
42,0.6,0.12,1,GASTRO,1.0
42,0.6,0.12,1,GYNECO,1.0
42,0.6,0.12,1,OPH,1.0
42,0.6,0.12,1,ORL,1.0
42,0.6,0.12,1,RHUMA,1.0
42,0.6,0.12,1,URO,1.0
42,0.7,0.12,1,CHIR/ORTHO,0.968
42,0.7,0.12,1,ANES,0.967
42,0.7,0.12,1,KINE_MCO,1.0
42,0.7,0.12,1,DAY_HC,1.0
